ID,FECHA,HORA,DIRECCION,TIPO,UNIDADES,"CORDENADAS (lat)","CORDENADAS (lng)"
2015-066630,12-11-2015,"11:58:06 p.m.","AV. LAS BEGONIAS CRUCE CON CL. ANDRES REYES SAN ISIDRO            SAN ISIDRO","EMERGENCIA MEDICA",SAMU-4,-12.0941808542035,-77.0250615774212
2015-066629,12-11-2015,"11:40:21 p.m.","  JR. HOYLE PALACIOS 100        EL AGUSTINO",RESCATE,"M176-1, SAMU-10",-12.0498689754388,-77.0005317397042
2015-066628,12-11-2015,"11:39:16 p.m.","OV CENTENARIO            ","EMERGENCIA MEDICA",MED-15,,
2015-066627,12-11-2015,"11:25:01 p.m.","  JR. BELGRANO 333        PUEBLO LIBRE","MATERIALES PELIGROSOS (INCIDENTE)",M36-1,-12.0692273724777,-77.0581578243765
2015-066626,12-11-2015,"11:19:11 p.m.","  AV. SANTA ROSA DE LIMA INCA MACO CAPAC 1629       SAN JUAN DE LURIGANCHO","EMERGENCIA MEDICA",AMB-121,-12.003645310207,-76.9985515869195
2015-066625,12-11-2015,"11:16:46 p.m.","  CL. LAS ACACIAS  MZ H LT 6-A 000        SAN MIGUEL","MATERIALES PELIGROSOS (INCIDENTE)",M60-1,-12.0624368690031,-77.0831490642933
2015-066624,12-11-2015,"10:50:28 p.m.","  CL. JACINTOS (SAN JUAN BAUTISTA) 300        SAN MARTIN DE PORRES","EMERGENCIA MEDICA",AMB-65,,
2015-066623,12-11-2015,"10:50:23 p.m.","  JR. BUEN RETIRO 185        SANTIAGO DE SURCO","EMERGENCIA MEDICA",MED-96,-12.0960866184981,-76.9685857822812
2015-066622,12-11-2015,"10:37:20 p.m.","  AV. MIROQUESADA (JUAN DE ALIAGA) 105        MAGDALENA DEL MAR","EMERGENCIA MEDICA",AMB-83,-12.1005728737049,-77.0606475644188
2015-066621,12-11-2015,"10:35:56 p.m.","AH. MI PERU ETAPA II N11            VENTANILLA","EMERGENCIA MEDICA",AMB-184,-11.8554992092548,-77.1154924045217
2015-066620,12-11-2015,"10:29:40 p.m.","CALLE EDUARDO TOTO             PATIVILCA","EMERGENCIA MEDICA",AMB-91,,
2015-066619,12-11-2015,"10:18:56 p.m.","  CL. LA MERCED 336        VILLA MARIA DEL TRIUNFO","ACCIDENTE VEHICULAR","AMB-106, M155-1, RES-134",-12.1811858111626,-76.9402050418697
2015-066618,12-11-2015,"10:18:06 p.m.","  AV. JOSE GALVEZ BARRENECHEA (PRINCIPAL) 1084       SAN ISIDRO",RESCATE,M11-1,-12.106326103556,-77.0107813276898
2015-066617,12-11-2015,"09:51:41 p.m.","  AV. INDOAMERICA 538        INDEPENDENCIA","EMERGENCIA MEDICA",M11-1,-11.9824315537612,-77.053816318172
2015-066616,12-11-2015,"09:45:00 p.m.",,"EMERGENCIA MEDICA",SAMU-4,-12.0516858061761,-77.0489866100557
2015-066615,12-11-2015,"09:44:21 p.m.","UR. CIUDAD DEL PESCADOR MAZ H 4 LOTE 14             BELLAVISTA","EMERGENCIA MEDICA",AMB-14,-12.0583180071847,-77.1098507362503
2015-066614,12-11-2015,"09:43:01 p.m.","JR. COMBATE DE IQUIQUE (TACNA) 181        SANTIAGO DE SURCO","EMERGENCIA MEDICA",AMB-134,-12.1393312989864,-77.0067221026117
2015-066613,12-11-2015,"09:38:06 p.m.","  AV. CAMINOS DEL INCA 1500       SANTIAGO DE SURCO","EMERGENCIA MEDICA",AMB-6,-12.1255967923226,-76.982916665403
2015-066612,12-11-2015,"09:33:11 p.m.","  CL. COMANDANTE ESPINAR 945        ","EMERGENCIA MEDICA",MED-34-2,-12.0673859413451,-77.1329106361845
2015-066611,12-11-2015,"09:30:01 p.m.","  AV. ALFREDO BENAVIDES 3300       SANTIAGO DE SURCO","EMERGENCIA MEDICA","AMB-134, AMB-6",-12.1287642778878,-77.0001873345048
2015-066610,12-11-2015,"09:27:05 p.m.","  JR. TRUJILLO 000        RIMAC","EMERGENCIA MEDICA",AMB-21,-12.0400321393066,-77.0292637273302
