ID,FECHA,HORA,DIRECCION,TIPO,UNIDADES,"CORDENADAS (lat)","CORDENADAS (lng)"
2017-010616,24-02-2017,"11:58:02 p.m.",,"EMERGENCIA MEDICA",AMB-1,-12.0603019641988,-77.1376766487659
2017-010615,24-02-2017,"11:54:37 p.m.","VALLE  HERMOSA  CAMINO  A HUACACHINA              ICA","EMERGENCIA MEDICA",AMB-22,,
2017-010614,24-02-2017,"11:54:01 p.m.","  CL. MADRE DE DIOS 100        VILLA MARIA DEL TRIUNFO","EMERGENCIA MEDICA",AMB-155,-12.1755481637838,-76.9348015931112
2017-010613,24-02-2017,"11:53:59 p.m.","  AV. FELIPE SANTIAGO SALAVERRY 2495       SAN ISIDRO","EMERGENCIA MEDICA",AMB-83,-12.0905462609855,-77.0517715949755
2017-010612,24-02-2017,"11:50:25 p.m.","  AV. ALMIRANTE MIGUEL GRAU (JOSE MARIA EGUREN) 106        BARRANCO","EMERGENCIA MEDICA",AMB-83,-12.1509943186552,-77.0202703490792
2017-010611,24-02-2017,"11:47:24 p.m.","  AV. PACHACUTEC (LOS HEROES) 418        SAN JUAN DE MIRAFLORES","EMERGENCIA MEDICA",AMB-106,-12.1536768292621,-76.9719985805685
2017-010610,24-02-2017,"11:46:36 p.m.","PJ CACERES  165        SAN VICENTE DE CANETE","EMERGENCIA MEDICA","AMB-183, M183-1",,
2017-010609,24-02-2017,"11:35:31 p.m.","  AV. CORONEL NESTOR GAMBETA (EL EMISOR) 1400       CALLAO",INCENDIO,M5-5,-12.0232373679994,-77.1291783648477
2017-010608,24-02-2017,"11:31:42 p.m.","  JR. LORETO 964        CALLAO","EMERGENCIA MEDICA",AMB-1,-12.0648181831189,-77.1385729730899
2017-010607,24-02-2017,"11:29:07 p.m.","  CL. PEDRO IRIGOYEN (DIEZ CANSECO) 100        SANTIAGO DE SURCO","EMERGENCIA MEDICA",AMB-28,-12.1321002218692,-77.0173333401601
2017-010606,24-02-2017,"11:09:45 p.m.","  JR. ABELARDO GAMARRA 1458       LIMA","EMERGENCIA MEDICA",AMB-3,-12.0542993257751,-77.0736005307503
2017-010605,24-02-2017,"11:03:04 p.m.",,INCENDIO,RES-14,-12.056899870352,-77.054373100381
2017-010604,24-02-2017,"11:02:06 p.m.","CENTRO POBLADO SORIZONGO            NAZCA","EMERGENCIA MEDICA",AMB-82,,
2017-010603,24-02-2017,"10:53:23 p.m.","  CL. LEONARDO ARRIETA 1353       LIMA","EMERGENCIA MEDICA","AMB-83, MED-169, RES-14",-12.0539179063101,-77.0714087235037
2017-010602,24-02-2017,"10:34:14 p.m.","  AV. HONORIO DELGADO 100        SAN MARTIN DE PORRES","EMERGENCIA MEDICA","AMB-3, M65-1",-12.0185957461659,-77.052409370712
2017-010601,24-02-2017,"10:31:46 p.m.","CL. LA RIVERA PARADERO EL KIOSCO             LURIGANCHO","MATERIALES PELIGROSOS (INCIDENTE)",M32-1,,
2017-010600,24-02-2017,"10:29:59 p.m.","  JR. MANUEL SEGURA 219        LIMA","EMERGENCIA MEDICA",AMB-8,-12.0795743621858,-77.0345359014042
2017-010599,24-02-2017,"09:52:59 p.m.","  JR. COLON 857        CALLAO",INCENDIO,M18-1,-12.0611458989374,-77.1361226663177
2017-010598,24-02-2017,"09:43:25 p.m.","  CL. NARCISO DE LA COLINA 1224       SURQUILLO","EMERGENCIA MEDICA",AMB-28,-12.117968687381,-77.0177778024818
2017-010597,24-02-2017,"09:39:52 p.m.","DISTRITO  CASAHORCO   HUAMANGA              AYACUCHO","ACCIDENTE VEHICULAR",AMB63-2,,
2017-010596,24-02-2017,"09:39:02 p.m.","  CL. LOS GERANIOS 400        LINCE","EMERGENCIA MEDICA",AMB-8,-12.0902048384636,-77.0253650510515
2017-010595,24-02-2017,"09:38:41 p.m.","  DISTRITO  DE  YANAMA                AYACUCHO","ACCIDENTE VEHICULAR",MED-63,,
2017-010594,24-02-2017,"09:25:38 p.m.","JR VILLA DEL SOL            ","EMERGENCIA MEDICA",AMB-32,,
2017-010593,24-02-2017,"09:23:43 p.m.","  AV. BRASIL 3059       SURQUILLO","EMERGENCIA MEDICA",MED-169,-12.0878478015154,-77.0644530774755
2017-010592,24-02-2017,"09:20:54 p.m.","AV. EDILBERTO RAMOS (MARIANO PASTOR SEVILLA) (FORESTAL) CRUCE CON AV. JORGE CHAVEZ VILLA EL SALVADOR            VILLA EL SALVADOR","ACCIDENTE VEHICULAR","AMB-106, AMB-16, M105-1",-12.2159182047793,-76.9471304034905
2017-010591,24-02-2017,"09:18:10 p.m.","  AV. EL PROGRESO MAZ 18 LOTE 13  000        CHORRILLOS","EMERGENCIA MEDICA",AMB-16,-12.1860300571321,-77.0161192231847
2017-010590,24-02-2017,"09:16:29 p.m.","  AV. CORONEL NESTOR GAMBETA (EL EMISOR) 000        CALLAO","EMERGENCIA MEDICA",AMB-207,-11.9375409944401,-77.1309349622451
