ID,FECHA,HORA,DIRECCION,TIPO,UNIDADES,"CORDENADAS (lat)","CORDENADAS (lng)"
2016-040700,01-07-2016,"11:29:25 p.m.",,"MATERIALES PELIGROSOS (INCIDENTE)",M44-1,,
2016-040699,01-07-2016,"11:27:00 p.m.","COMERCIAL CENTRO COMERCIAL JOCKEY PLAZA            SANTIAGO DE SURCO","SERVICIO ESPECIAL",RES-127,-12.0852424632381,-76.9769032404998
2016-040698,01-07-2016,"11:25:31 p.m.","  PJ. LAS BRISAS 140        LA VICTORIA","EMERGENCIA MEDICA",AMB-8,-12.0808798547332,-77.0083060908946
2016-040697,01-07-2016,"11:10:49 p.m.","CARRETERAS - PANAMERICANAS ANTIGUA PANAMERICANA SUR 38.5            LURIN","MATERIALES PELIGROSOS (INCIDENTE)","AMB-129, M125-1",-12.2893651270335,-76.8582804258034
2016-040696,01-07-2016,"11:03:56 p.m.","CARRETERA VILLA LIBERTADORES              AYACUCHO","ACCIDENTE VEHICULAR",AMB63-2,,
2016-040695,01-07-2016,"11:03:39 p.m.","  AV. PEDRO SILVA 1030       SAN JUAN DE MIRAFLORES","EMERGENCIA MEDICA",AMB-106,-12.1673198102629,-76.9644040771086
2016-040694,01-07-2016,"10:49:33 p.m.","  CL. BODEGONES 456        ","EMERGENCIA MEDICA",AMB-6,-12.1343871338838,-76.9816224340575
2016-040693,01-07-2016,"10:39:46 p.m.","  JR. MARIANO MELGAR              PUENTE PIEDRA","EMERGENCIA MEDICA",AMB-150,-11.8357200503097,-77.1054088034452
2016-040692,01-07-2016,"10:29:46 p.m.",,"EMERGENCIA MEDICA",AMB-6,-12.1281959004097,-77.0101214848579
2016-040691,01-07-2016,"10:16:38 p.m.","  JR. ALBERTO SECADA 347        CALLAO","EMERGENCIA MEDICA",AMB-6,-12.0634614144839,-77.144682458237
2016-040690,01-07-2016,"10:11:25 p.m.",,"EMERGENCIA MEDICA",AMB-16,-12.1697108219762,-77.025048070184
