ID,FECHA,HORA,DIRECCION,TIPO,UNIDADES,"CORDENADAS (lat)","CORDENADAS (lng)"
2016-072841,18-12-2016,"11:36:22 p.m.","  CL. REYNA Y TALAVERA (AYMARAS) 500        SANTA ANITA","ACCIDENTE VEHICULAR","M127-1, M138-1, M169-1, MED-96",-12.0374959785988,-76.9652315336633
2016-072840,18-12-2016,"11:35:42 p.m.","PSJE BELLAVISTA             HUACHO","MATERIALES PELIGROSOS (INCIDENTE)",M20-1,,
2016-072839,18-12-2016,"11:27:19 p.m.","CL. CERRO VERDE CRUCE CON CL. CERRO BLANCO SANTIAGO DE SURCO            SANTIAGO DE SURCO","EMERGENCIA MEDICA",AMB-11,-12.1368453759545,-76.9766421677513
2016-072838,18-12-2016,"11:17:17 p.m.","AV. GUARDIA CIVIL (ANTONIO VARGAS) (CONDORES) CRUCE CON AV. GUARDIA PERUANA CHORRILLOS            CHORRILLOS","MATERIALES PELIGROSOS (INCIDENTE)","AMB-28, M13-2",-12.1827437807504,-76.9997135783735
2016-072837,18-12-2016,"11:15:46 p.m.","  CL. LAS AVESTRUCES 125        SANTA ANITA",INCENDIO,M138-1,-12.047237072985,-76.963973078516
2016-072836,18-12-2016,"11:04:39 p.m.","  AV. EL RETABLO 248        COMAS","EMERGENCIA MEDICA",AMB-168,-11.9365853245816,-77.0604222094233
2016-072835,18-12-2016,"10:54:16 p.m.","CARRETERAS - PANAMERICANAS PANAMERICANA SUR 20            VILLA EL SALVADOR","ACCIDENTE VEHICULAR","AMB-129, AMB-160, M120-1, M6-1",-12.2293651142788,-76.9680084463977
2016-072834,18-12-2016,"10:51:11 p.m.","  CL. JOSE DEL CARMEN MARIN   DPT 101 137        LA PERLA","MATERIALES PELIGROSOS (INCIDENTE)","AMB-7, M15-1, M7-1",-12.0752288046702,-77.1104955394235
2016-072833,18-12-2016,"10:47:56 p.m.","  AV. GENERAL CESAR CANEVARO 793        LINCE","EMERGENCIA MEDICA",AMB-202,-12.0844209244228,-77.0411903850638
2016-072832,18-12-2016,"10:34:50 p.m.","CARRETERAS - PANAMERICANAS PANAMERICANA NORTE 39.5            SANTA ROSA","ACCIDENTE VEHICULAR","AMB-163, M184-1, M75-5",-11.8002371999846,-77.138102389307
2016-072831,18-12-2016,"10:34:42 p.m.","JR. HUALLAGA 500        LIMA","EMERGENCIA MEDICA","M2-1, MED-202",-12.0470772036008,-77.0298722206018
2016-072830,18-12-2016,"10:22:53 p.m.","AH. LADERAS DE CHILLON TERCERA EXPLANADA MZ W LOTE 33            PUENTE PIEDRA","EMERGENCIA MEDICA",AMB-124,-11.9269892522809,-77.0876095222755
2016-072829,18-12-2016,"10:08:48 p.m.","CALLE.SANTO DOMINGO            CHINCHA ALTA","MATERIALES PELIGROSOS (INCIDENTE)",M38-4,,
2016-072828,18-12-2016,"09:41:45 p.m.","  JR. SAO PAULO 2400       SAN MARTIN DE PORRES","EMERGENCIA MEDICA",AMB-9,-12.0302039075052,-77.072096963829
2016-072827,18-12-2016,"09:40:51 p.m.","AV. BOCANEGRA CRUCE CON AV. LOS DOMINICOS CALLAO            CALLAO","EMERGENCIA MEDICA",MED-9,-12.0064771470936,-77.0991706642411
2016-072826,18-12-2016,"09:39:27 p.m.","UR. COVIMA MZ D1 LOTE 44            LA MOLINA","EMERGENCIA MEDICA",MED-96,-12.0657816230236,-76.9409122206143
2016-072825,18-12-2016,"09:30:30 p.m.","  JR. DOS DE MAYO 634        LA PERLA","EMERGENCIA MEDICA",AMB-1,-12.0691503913935,-77.1185091108838
2016-072824,18-12-2016,"09:16:00 p.m.","EL CHINCAL SAN VICENTE            SAN VICENTE DE CANETE",INCENDIO,M49-1,,
2016-072823,18-12-2016,"09:12:02 p.m.","  AV. MAR PACIFICO SUR 896        ",INCENDIO,"AMB-125, M125-1",-12.3938680108849,-76.7748908170571
2016-072822,18-12-2016,"09:07:16 p.m.","  AV. PARQUE DE LAS LEYENDAS 400        SAN MIGUEL","EMERGENCIA MEDICA",AMB-1,-12.0741272976777,-77.0873866849198
2016-072821,18-12-2016,"09:03:14 p.m.","av  jose  olaya   s.n  san  clemente            PISCO","EMERGENCIA MEDICA",AMB-157,,
2016-072820,18-12-2016,"08:49:00 p.m.","UR. CIUDAD DEL PESCADOR SECTOR I 1            BELLAVISTA","EMERGENCIA MEDICA",AMB-1,-12.0572913403401,-77.1046291085157
2016-072819,18-12-2016,"08:48:12 p.m.",,INCENDIO,M200-3,,
2016-072818,18-12-2016,"08:46:20 p.m.","  AL. DEL CORREGIDOR 1500       LA MOLINA","EMERGENCIA MEDICA",MED-96,-12.0981383342356,-76.9510304829923
2016-072817,18-12-2016,"08:41:16 p.m.","ABANCAY 200        LIMA","EMERGENCIA MEDICA","AMB-8, M2-1",,
2016-072816,18-12-2016,"08:41:08 p.m.","  AV. JULIO CESAR TELLO 800        LINCE","EMERGENCIA MEDICA",AMB-100,-12.0867497961201,-77.0416747555745
2016-072815,18-12-2016,"08:39:30 p.m.","AV. SANTIAGO DE SURCO (TOMAS MARSANO) CRUCE CON AV. SURCO SANTIAGO DE SURCO            SANTIAGO DE SURCO","EMERGENCIA MEDICA",AMB-11,-12.1393058524895,-76.9938760770652
2016-072814,18-12-2016,"08:32:37 p.m.","AV. SANTIAGO DE SURCO (TOMAS MARSANO) CRUCE CON AV. SANTIAGO DE SURCO (TOMAS MARSANO) SANTIAGO DE SURCO            SANTIAGO DE SURCO","EMERGENCIA MEDICA",AMB-11,-12.131375883608,-76.9993727342488
2016-072813,18-12-2016,"08:24:48 p.m.","JR BUENOS AIRES            SAYAN","EMERGENCIA MEDICA",AMB-216,,
2016-072812,18-12-2016,"08:21:55 p.m.","CARRETERAS - PANAMERICANAS PANAMERICANA NORTE 28            PUENTE PIEDRA","EMERGENCIA MEDICA",AMB-150,-11.8824523532053,-77.0685865182067
2016-072811,18-12-2016,"08:16:15 p.m.","AV. CORDILLERA CENTRAL CRUCE CON JR. NEVADO CARWARAZO (NEVADO CARHUAZ) CHORRILLOS            CHORRILLOS","EMERGENCIA MEDICA",AMB6-2,-12.1981639848412,-76.9922546670756
2016-072810,18-12-2016,"08:16:13 p.m.","AV. MICAELA BASTIDAS CRUCE CON AV. TUPAC AMARU COMAS            COMAS","EMERGENCIA MEDICA",AMB-124,-11.9336777934295,-77.0468884532498
2016-072809,18-12-2016,"08:03:05 p.m.","  AV. CIRCUNVALACION DEL CLUB GOLF LOS INCAS 833        SANTIAGO DE SURCO","EMERGENCIA MEDICA",AMB-11,-12.0853211381705,-76.9636805346653
2016-072808,18-12-2016,"08:02:08 p.m.","  CL. JOSE CARLOS MARIATEGUI 598        SAN MARTIN DE PORRES","EMERGENCIA MEDICA",AMB-11,-12.0209145751,-77.0520090368493
2016-072807,18-12-2016,"07:57:28 p.m.","KM 22 TUPAC AMARU            COMAS","EMERGENCIA MEDICA",AMB-124,,
2016-072806,18-12-2016,"07:51:19 p.m.","AV. IQUITOS CRUCE CON AV. 28 DE JULIO LA VICTORIA            LA VICTORIA","EMERGENCIA MEDICA",AMB-8,-12.0633207709727,-77.0309675300247
2016-072805,18-12-2016,"07:49:24 p.m.","PRINCIPAL 300        CHINCHA BAJA","EMERGENCIA MEDICA",AMB-38,,
2016-072804,18-12-2016,"07:36:17 p.m.","PAMPA QUINUA            AYACUCHO","ACCIDENTE VEHICULAR","AMB-63, M63-1",,
2016-072803,18-12-2016,"07:33:10 p.m.","AV MELGAREJO            ","SERVICIO ESPECIAL",MED-96,,
2016-072802,18-12-2016,"07:29:03 p.m.","  CL. LOS NEGOCIOS 280        SURQUILLO","EMERGENCIA MEDICA",AMB-28,-12.105290337035,-77.0212825885354
2016-072801,18-12-2016,"07:25:17 p.m.","  PR. PEDRO MIOTTA 800        SAN JUAN DE MIRAFLORES","EMERGENCIA MEDICA","AMB-106, AMB-120",-12.1606049915273,-76.9794699372976
2016-072800,18-12-2016,"07:22:53 p.m.","PLAYA LAS CONCHITAS MZ P LOTE 15             ANCON",INCENDIO,M163-1,,
2016-072799,18-12-2016,"07:18:07 p.m.","AV. AVIACION CRUCE CON CL. ANDRES VESALIO SAN BORJA            SAN BORJA","EMERGENCIA MEDICA",AMB-11,-12.1052257940769,-77.0011355825739
2016-072798,18-12-2016,"07:17:49 p.m.","  JR. PUNO 3240       SAN MARTIN DE PORRES","EMERGENCIA MEDICA",MED-9,-12.0354745009631,-77.0835001628859
2016-072797,18-12-2016,"07:14:54 p.m.","  AV. SANTA ROSA (JUAN PABLO II) MZ I LT 26 000        CALLAO","EMERGENCIA MEDICA",AMB-9,-12.0538535164437,-77.1149449450799
2016-072796,18-12-2016,"07:13:27 p.m.","FONAVI --HUARAL            HUARAL","EMERGENCIA MEDICA",MED-80,,
2016-072795,18-12-2016,"07:13:06 p.m.","  AV. LA MARINA 2355       SAN MIGUEL","EMERGENCIA MEDICA",AMB-83,-12.0777136532884,-77.0869869748575
2016-072794,18-12-2016,"07:10:51 p.m.","143 PAN NORTE            HUACHO","ACCIDENTE VEHICULAR","AMB-20, AUX-20",,
2016-072793,18-12-2016,"07:09:15 p.m.","UV. MATUTE --BLOCK 61--C3            LA VICTORIA","EMERGENCIA MEDICA",AMB-8,-12.0711205936838,-77.0238375925267
2016-072792,18-12-2016,"07:06:57 p.m.","PLAZA DE ARMAS            LIMA","SERVICIO ESPECIAL",AMB-2,,
2016-072791,18-12-2016,"07:03:40 p.m.","RECREACION CLUB CULTURAL LIMA            CHORRILLOS","EMERGENCIA MEDICA",AMB6-2,-12.2070037644357,-77.0220673351149
2016-072790,18-12-2016,"06:57:34 p.m.","  CL. PEDRO CIEZA DE LEON 225        ATE","EMERGENCIA MEDICA",AMB-138,-12.0757540076096,-76.9861426585593
2016-072789,18-12-2016,"06:55:41 p.m.","SAUCE GRANDE MZ K LT 10            LURIGANCHO","EMERGENCIA MEDICA",AMB-32-2,,
2016-072788,18-12-2016,"06:52:18 p.m.","AV PERIUBAMBA MZ G LOTE 38--URB VILLA CLUB             CARABAYLLO","EMERGENCIA MEDICA","AMB-124, AMB-150",-11.9024188485245,-77.0330362740376
2016-072787,18-12-2016,"06:44:35 p.m.","  CL. MANCO INCA II (4) 200        SANTIAGO DE SURCO","EMERGENCIA MEDICA",AMB-106,-12.1501349887988,-76.9858936915764
2016-072786,18-12-2016,"06:43:04 p.m.","  JR. DOMINGO ELIAS 297        MIRAFLORES","EMERGENCIA MEDICA",AMB-28,-12.1125752929457,-77.0283481292101
2016-072785,18-12-2016,"06:41:21 p.m.","PAQUE GUADALUPE             PUNTA NEGRA",INCENDIO,"AMB-125, M125-1",,
2016-072784,18-12-2016,"06:34:00 p.m.","AH. BOCANEGRA  E12 LT 22            CALLAO","EMERGENCIA MEDICA",AMB-9,-12.0270346376637,-77.0997330558276
2016-072783,18-12-2016,"06:12:39 p.m.","  AV. AVIACION 2400       SAN BORJA",INCENDIO,"M127-1, M8-1, MATPEL-4",-12.0885980787599,-77.0033149331911
2016-072782,18-12-2016,"06:10:59 p.m.","BALBEARIO  DE HUACACHINA            ICA","EMERGENCIA MEDICA",AMB-22,,
2016-072781,18-12-2016,"06:09:18 p.m.","AV. GUARDIA CIVIL (DEL AIRE) CRUCE CON AV. JAVIER PRADO ESTE SAN BORJA            SAN BORJA","ACCIDENTE VEHICULAR","AMB-11, M11-1, M4-1",-12.0889078061803,-77.0074026165056
2016-072780,18-12-2016,"06:08:25 p.m.","  PR. CUZCO 165        SAN MIGUEL","EMERGENCIA MEDICA",AMB-83,-12.087395639903,-77.075141044994
2016-072779,18-12-2016,"05:57:58 p.m.","  AV. VENEZUELA 3000       LIMA","EMERGENCIA MEDICA",AMB-2,-12.0590380812674,-77.0746845130981
2016-072778,18-12-2016,"05:55:50 p.m.","  AV. UNIVERSITARIA 695        CARABAYLLO","EMERGENCIA MEDICA",AMB-124,-11.8927463040116,-77.0349555951448
2016-072777,18-12-2016,"05:52:33 p.m.","CARRETERAS - PANAMERICANAS ANTIGUA PANAMERICANA SUR 46            PUNTA HERMOSA","ACCIDENTE VEHICULAR","AMB-125, AMB-129, M125-1, M129-1",-12.3428340596691,-76.815637311369
2016-072776,18-12-2016,"05:51:08 p.m.","PARQUE ZONAL MAYTA CAPAC            SAN MARTIN DE PORRES","SERVICIO ESPECIAL",RESLIG-161,,
2016-072775,18-12-2016,"05:33:52 p.m.","  CL. LOS LABRADORES MZ H4 LT 11 100        CHORRILLOS","EMERGENCIA MEDICA",AMB6-2,-12.1721674751016,-77.0070968710814
2016-072774,18-12-2016,"05:31:47 p.m.","SAN  FRANCISCO 100        PISCO","EMERGENCIA MEDICA",AMB-37,,
